locus	gene	ProteinID	subsystem	Kamp.et.al.	Chao.et.al.	Cameron.et.al.	E.coli
VC0158	murI	glutamate racemase	cell wall biosynthesis	E	E	E	E
VC0215	coaBC	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase	coenzyme A biosynthesis; Cofactor biosynthesis	E	E	E	E
VC0222	coaD	phosphopantetheine adenylyltransferase	coenzyme A biosynthesis; Cofactor biosynthesis	E	E	E	E
VC0295	accC	acetyl-CoA carboxylase biotin carboxylase subunit	malonyl-CoA biosynthesis; lipid metabolism	E	E	E	E
VC0315	pssA	phosphatidylserine synthase	lipid metabolism	E	E	E	E
VC0318	murB	UDP-N-acetylenolpyruvoylglucosamine reductase	cell wall biosynthesis	E	E	E	E
VC0440	folA	dihydrofolate reductase	tetrahydrofolate biosynthesis; cofactor biosynthesis	E	E	E	E
VC0472	metK	S-adenosylmethionine synthetase	S-adenosyl-L-methionine biosynthesis; amino-acid biosynthesis	E	E	E	E
VC0524	folB	"dihydroneopterin aldolase FolB, putative"	tetrahydrofolate biosynthesis; cofactor biosynthesis	E	E	E	E
VC0528	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	isoprenoid biosynthesis	E	E	E	E
VC0529	ispF	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"	isoprenoid biosynthesis	E	E	E	E
VC0680	murJ	Probable lipid II flippase MurJ	cell wall biosynthesis	E	E	E	E
VC0681	ribF	bifunctional riboflavin kinase/FMN adenylyltransferase	FAD biosynthesis; cofactor bisosynthesis	E	E	E	E
VC0685	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	isoprenoid biosynthesis	E	E	E	E
VC0759	ispG	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	isoprenoid biosynthesis	E	E	E	E
VC0853	ppnK	NAD kinase	NAD metabolic process	E	E	E	E
VC0890	ispA	geranyl transtransferase	isoprenoid biosynthesis	E	E	E	E
VC0986	adk	adenylate kinase	purine metabolism	E	E	E	E
VC0987	hemH	ferrochelatase	protoheme biosynthesis; Porphyrin-containing compound metabolism	E	E	E	E
VC1000	accD	acetyl-CoA carboxylase subunit beta	malonyl-CoA biosynthesis; lipid metabolism	E	E	E	E
VC1001	folC	folylpolyglutamate synthase/dihydrofolate synthase		E	E	E	E
VC1483	fabA	3-hydroxydecanoyl-(acyl carrier protein) dehydratase	lipid metabolism	E	E	E	E
VC1850	lpxH	"UDP-2,3-diacylglucosamine hydrolase"	lipid IV(A) biosynthesis; Glycolipid biosynthesis	E	E	E	E
VC1877	lpxK	tetraacyldisaccharide 4'-kinase	lipid IV(A) biosynthesis; Glycolipid biosynthesis	E	E	E	E
VC1878	msbA	lipid transporter ATP-binding/permease protein	lipid IV(A) biosynthesis; Glycolipid biosynthesis	E	E	E	E
VC2016	tmk	thymidylate kinase	dTTP biosynthesis; pyrimidine metabolism	E	E	E	E
